---,ActionName,ActionDescription,DamageMultiplier,AttackRange,AttackRadius,ForwardOffset,Cooldown,ManaCost,TargetFilter,BuffDuration,AnimPlayRate,ProjectileDataHandle
Book_BookOfRed_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_BookOfRed_Skl,,,1.5,150,100,50,10,25,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_CookingForDummies_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_CookingForDummies_Skl,,,1.5,150,100,50,12,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_DeckCase_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_DeckCase_Skl,,,2.5,150,200,50,10,10,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_DefaultBook_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_DefaultBook_Skl,,,1.5,150,200,50,8,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_Dictionary_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_Dictionary_Skl,,,3,250,150,50,8,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_EventBook_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_EventBook_Skl,,,3,200,200,50,12,15,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_FlawlessPlaying_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_FlawlessPlaying_Skl,,,2.5,150,100,50,10,25,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_HologramHud_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_HologramHud_Skl,,,2,250,200,50,8,15,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_MementoMori_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_MementoMori_Skl,,,2.5,150,100,50,10,15,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_PerfectHarmony_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Book_PerfectHarmony_Skl,,,3,200,150,50,8,20,Enemy,0,1,"(DataTable=None,RowName="""")"
