---,ActionName,ActionDescription,DamageMultiplier,AttackRange,AttackRadius,ForwardOffset,Cooldown,ManaCost,TargetFilter,BuffDuration,AnimPlayRate,ProjectileDataHandle
Balrog,,,1,0,50,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Bearking,,,1,250,100,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
BronzeGear,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Cell,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Cursedmass,,,1,1050,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
DanceMakane,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Deatheye,,,1,1000,100,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName="""")"
DieS,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
DoctorMacaron,,,1,1000,100,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default1_Way"")"
Famine,,,1,100,50,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
FelicisMachine,,,1,1000,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Explosion_1Way"")"
FelicisShinobi,,,1,80,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Fiti,,,1,80,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
GeminiScythe,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
GhostMacaron,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Graf,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
GuardianTreant,,,1,150,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
HackingTool,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
HoneyMos,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Jellyfish,,,1,50,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Karakasa,,,1,10,100,-100,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Kraken,,,1,100,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
LikeStatue,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
LordFelice,,,1,30,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Mandragora,,,1,1000,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Mask,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Mechanicus,,,1,1000,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Megaron,,,1,100,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Mimic,,,1,20,70,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Octopus,,,1,40,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
PistolShrimp,,,1,1000,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Pufferfish,,,1,20,80,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Seasoner,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
SharkRider,,,1,40,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Starspawn,,,1,40,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Ushabti,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Wagon,,,1,1000,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Explosion_1Way"")"
Watcher,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Foxhound,,,1,0,200,200,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
