---,ActionName,ActionDescription,DamageMultiplier,AttackRange,AttackRadius,ForwardOffset,Cooldown,ManaCost,TargetFilter,BuffDuration,AnimPlayRate,ProjectileDataHandle
Anemone,,,1,20,100,10,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
BardFollower,,,1,20,60,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Bat,,,1,20,40,-10,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Cannon,,,1,800,80,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
CherryBee,,,1,20,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Clownfish,,,1,20,40,-50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
CowardTurtle,,,1,20,50,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
CupFelice,,,1,20,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
DarumaNeko,,,1,20,80,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
FanOfDeath,,,1,20,50,10,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Felice,,,1,20,60,10,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Felicis,,,1,20,60,10,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
FelicisGuard,,,1,20,60,10,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Firefly,,,1,10,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Fly,,,1,1000,100,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
ForestMacaron,,,1,20,60,10,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
ForestSpirit,,,1,500,60,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Foxhound,,,1,20,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
GoldMacaron,,,1,20,80,20,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Golem,,,1,20,80,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
GuardianTreantMini,,,1,20,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Imp,,,1,500,50,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
Leech,,,1,500,40,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
Macaron,,,1,10,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
MageMacaron,,,1,10,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
MagicPot,,,1,20,30,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Messenger,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
MinimiNeko,,,1,20,80,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
MummyMacaron,,,1,10,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Mushroom,,,1,20,50,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
NetherConnector,,,1,600,60,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
Oowl,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
SmashingShrimp,,,1,20,30,20,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Tacodora,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Trumduck,,,1,400,40,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
Turret,,,1,300,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Turtlog,,,1,20,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way""))"
Usami,,,1,20,40,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
