---,ActionName,ActionDescription,DamageMultiplier,AttackRange,AttackRadius,ForwardOffset,Cooldown,ManaCost,TargetFilter,BuffDuration,AnimPlayRate,ProjectileDataHandle
Gun_BlackBeard_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Gun_BlackBeard_Skl,블랙샷,,3,1500,50,0,10,20,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Spread_3Way"")"
Gun_BlackNose_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Gun_BlackNose_Skl,흑장미,,3,1500,100,50,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_Demonia_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Gun_Demonia_Skl,데몬,,2,1500,100,0,10,20,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Spread_5Way"")"
Gun_EventGun_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Gun_EventGun_Skl,환영,,2,1500,50,0,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_LovelyCoil_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Gun_LovelyCoil_Skl,빔,,3,1200,50,0,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_Mustang_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Gun_Mustang_Skl,머스탱,,2.5,1500,50,0,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_NailGun_Atk,,,1,800,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_NailGun_Skl,네일샷,,3,900,100,50,12,25,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_PayBack_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_PayBack_Skl,변환,,3,800,150,50,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Gun_Smithers_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Gun_Smithers_Skl,스미싱,,1.5,1500,50,0,10,20,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Spread_3Way"")"
