---,ActionName,ActionDescription,DamageMultiplier,AttackRange,AttackRadius,ForwardOffset,Cooldown,ManaCost,TargetFilter,BuffDuration,AnimPlayRate,ProjectileDataHandle
Staff_Anubis_Atk,,,1,1500,40,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_Anubis_Skl,일어나라,,1,0,300,200,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_Binder_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_Binder_Skl,굴레,,1,0,300,100,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_DeathMatch_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_DeathMatch_Skl,매치,,3,0,300,200,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_Decanter_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_Decanter_Skl,캔터,,2,0,300,200,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_DefaultStaff_Atk,,,2,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_DefaultStaff_Skl,디스,,2,500,200,100,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_EventStaff_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_EventStaff_Skl,혼돈,,1.5,0,300,200,10,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_GazeOfDragon_Atk,,,1.5,1500,50,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_GazeOfDragon_Skl,드래곤,,1.5,0,400,250,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_Initiator_Atk,,,1.5,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_Initiator_Skl,이니셜,,1.5,0,450,-100,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_OneStroke_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_OneStroke_Skl,하나의 빛,,3,500,200,100,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_OverTheHorizon_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_OverTheHorizon_Skl,수평선,,2,0,200,100,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_StandUp_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_StandUp_Skl,깨져라,,3,0,200,100,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Staff_WinterCane_Atk,,,1,1500,50,0,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Default_1Way"")"
Staff_WinterCane_Skl,절대영도,,2.5,0,600,-100,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
