---,ActionName,ActionDescription,DamageMultiplier,AttackRange,AttackRadius,ForwardOffset,Cooldown,ManaCost,TargetFilter,BuffDuration,AnimPlayRate,ProjectileDataHandle
Sword_Army_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_Army_Skl,,,1.5,150,150,50,5,15,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_BeamSword_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_BeamSword_Skl,,,3,200,150,50,5,10,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_ButterSlayer_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_ButterSlayer_Skl,,,2.5,250,150,50,8,15,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_ChainSword_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_ChainSword_Skl,,,1.5,200,200,50,10,10,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_EventSword_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_EventSword_Skl,,,2,150,100,50,12,15,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_HornetBlade_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_HornetBlade_Skl,,,3,150,150,50,12,15,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_Maid_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_Maid_Skl,,,1.5,150,200,50,12,20,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_MilkyWay_Atk,,,1,150,40,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Sword_MilkyWay_Skl,,,3,150,150,50,12,15,Enemy,0,1,"(DataTable=None,RowName="""")"
