---,ActionName,ActionDescription,DamageMultiplier,AttackRange,AttackRadius,ForwardOffset,Cooldown,ManaCost,TargetFilter,BuffDuration,AnimPlayRate,ProjectileDataHandle
Anubis_Ult,아누비스 궁극기,,3,500,100,50,0,0,Enemy,0,1,"(DataTable=""/Script/Engine.DataTable'/Game/Data/Action/DT_ProjectileStats.DT_ProjectileStats'"",RowName=""Spread_3Way"")"
Army_Ult,아누비스 궁극기,,0.2,800,200,50,10,0,Friendly,5,1,"(DataTable=None,RowName="""")"
Bard_Ult,아누비스 궁극기,,3,500,300,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Binder_Ult,아누비스 궁극기,,10,500,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Courier_Ult,아누비스 궁극기,,7,300,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Demonia_Ult,아누비스 궁극기,,7,800,300,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Enchanter_Ult,아누비스 궁극기,,7,300,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Guard_Ult,아누비스 궁극기,,5,500,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Hermit_Ult,아누비스 궁극기,,10,300,100,200,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Hornet_Ult,아누비스 궁극기,,10,500,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Looter_Ult,아누비스 궁극기,,7,500,300,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Maid_Ult,아누비스 궁극기,,3,300,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Merry_Ult,아누비스 궁극기,,5,800,300,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Muzzle_Ult,아누비스 궁극기,,10,300,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Noble_Ult,아누비스 궁극기,,10,300,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Nurse_Ult,아누비스 궁극기,,10,300,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Outsider_Ult,아누비스 궁극기,,7,300,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Pioneer_Ult,아누비스 궁극기,,10,300,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Rogue_Ult,아누비스 궁극기,,3,300,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Tinker_Ult,아누비스 궁극기,,7,800,100,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Tuner_Ult,아누비스 궁극기,,10,500,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Weaver_Ult,아누비스 궁극기,,10,500,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
Writer_Ult,아누비스 궁극기,,3,800,200,50,0,0,Enemy,0,1,"(DataTable=None,RowName="""")"
